neighbourhood,room_type,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Mission,Shared room,37.75668,-122.4147,33,30,155,2.85,8,0
Western Addition,Entire home/apt,37.78397,-122.44245,185,28,7,0.37,2,243
Noe Valley,Entire home/apt,37.74731,-122.43264,200,1,21,0.4,1,215
South of Market,Private room,37.77254,-122.42255,99,2,120,2.33,1,17
Parkside,Private room,37.74374,-122.48463,99,2,104,1.91,1,360
Haight Ashbury,Private room,37.77475,-122.44212,80,30,23,0.47,1,277
Twin Peaks,Entire home/apt,37.75467,-122.44266,200,2,75,1.38,1,1
Pacific Heights,Entire home/apt,37.78972,-122.43922,450,7,2,0.08,1,0
Western Addition,Entire home/apt,37.77308,-122.43417,195,7,139,2.61,1,5
Twin Peaks,Private room,37.74604,-122.45255,90,30,19,0.43,3,353
Mission,Private room,37.7587,-122.42124,89,4,124,2.61,3,0
Downtown/Civic Center,Entire home/apt,37.78559,-122.40874,189,30,7,0.13,25,289
Pacific Heights,Entire home/apt,37.79208,-122.44603,288,30,15,0.39,2,50
Mission,Entire home/apt,37.76511,-122.42207,214,5,164,3.05,2,31
South of Market,Entire home/apt,37.78832,-122.38879,350,30,17,0.36,1,360
Potrero Hill,Private room,37.75931,-122.38752,85,30,0,0,1,0
Castro/Upper Market,Entire home/apt,37.75919,-122.43486,400,3,1,0.07,1,0
Downtown/Civic Center,Shared room,37.78117,-122.42141,60,1,72,1.34,1,0
Pacific Heights,Private room,37.79713,-122.42571,129,1,203,3.8,14,83
Excelsior,Entire home/apt,37.72615,-122.43128,135,1,63,1.48,1,102
Castro/Upper Market,Entire home/apt,37.76452,-122.42718,260,30,56,1.41,1,168
Bernal Heights,Private room,37.74268,-122.42092,123,3,121,2.42,1,30
Bernal Heights,Entire home/apt,37.74026,-122.41812,350,4,5,0.37,1,26
Twin Peaks,Private room,37.75709,-122.44323,150,1,263,5.42,3,302
Outer Richmond,Entire home/apt,37.78093,-122.49425,178,2,357,6.7,2,39
Outer Mission,Private room,37.71587,-122.44836,80,1,505,9.74,1,171
South of Market,Entire home/apt,37.77796,-122.4118,180,31,16,0.33,1,323
Noe Valley,Entire home/apt,37.75342,-122.428,141,30,18,0.35,2,352
Noe Valley,Private room,37.75286,-122.42663,185,2,58,1.1,2,19
Mission,Private room,37.75533,-122.41465,195,30,0,0,2,365
Marina,Private room,37.79872,-122.43556,159,1,262,5.02,4,27
Inner Sunset,Entire home/apt,37.75529,-122.46533,135,30,75,2.4,1,264
Parkside,Entire home/apt,37.74258,-122.48744,155,3,144,2.75,1,22
Mission,Entire home/apt,37.75446,-122.42399,250,2,77,1.45,1,48
Haight Ashbury,Entire home/apt,37.7739,-122.44318,154,30,5,0.1,2,288
Marina,Entire home/apt,37.80409,-122.44468,125,30,4,0.09,3,304
Marina,Entire home/apt,37.80438,-122.44344,283,30,2,0.05,3,157
Pacific Heights,Entire home/apt,37.79176,-122.42879,1000,2,5,0.16,1,364
West of Twin Peaks,Private room,37.74035,-122.45319,141,1,164,3.08,1,49
Mission,Private room,37.76004,-122.41809,125,3,77,1.44,2,0
Noe Valley,Entire home/apt,37.75437,-122.42954,165,30,120,2.29,1,278
Inner Sunset,Entire home/apt,37.75603,-122.4609,150,1,139,5.76,1,254
Haight Ashbury,Private room,37.77112,-122.44872,400,30,2,0.04,2,353
Western Addition,Entire home/apt,37.77075,-122.42735,300,30,7,0.14,1,88
Nob Hill,Entire home/apt,37.79078,-122.40935,110,30,13,0.26,4,310
Chinatown,Entire home/apt,37.79095,-122.40769,110,30,9,0.19,4,278
Inner Sunset,Private room,37.76172,-122.47488,66,1,253,4.76,1,6
Inner Richmond,Entire home/apt,37.78059,-122.45199,200,30,39,0.75,1,113
Noe Valley,Entire home/apt,37.74722,-122.43507,215,2,97,1.89,1,130
Excelsior,Entire home/apt,37.72906,-122.41014,125,1,116,2.2,1,300
Noe Valley,Private room,37.74683,-122.43746,120,2,2,0.39,1,71
Outer Sunset,Private room,37.76413,-122.48369,80,1,211,5.13,2,22
North Beach,Entire home/apt,37.79911,-122.40567,625,2,43,0.82,1,35
Marina,Entire home/apt,37.79798,-122.43023,125,30,60,1.14,2,333
Mission,Entire home/apt,37.75786,-122.41778,180,30,104,2.11,1,226
Mission,Entire home/apt,37.7619,-122.4094,350,7,0,0,1,217
Haight Ashbury,Entire home/apt,37.77452,-122.4449,250,3,176,3.47,1,37
Western Addition,Private room,37.7771,-122.43763,125,2,190,3.64,1,7
Excelsior,Private room,37.72219,-122.43078,60,5,50,0.95,2,105
Presidio Heights,Entire home/apt,37.78507,-122.45276,520,30,3,0.06,24,218
Inner Richmond,Private room,37.77528,-122.46233,200,2,25,0.49,5,329
Glen Park,Private room,37.73746,-122.42871,200,2,147,2.85,1,343
Noe Valley,Entire home/apt,37.7503,-122.44204,250,3,21,0.64,1,0
Castro/Upper Market,Private room,37.76296,-122.43116,80,2,124,2.4,1,83
Castro/Upper Market,Entire home/apt,37.7679,-122.43253,235,30,9,0.18,2,361
Downtown/Civic Center,Private room,37.78827,-122.41506,99,3,204,4.15,2,123
Downtown/Civic Center,Private room,37.78899,-122.4155,79,3,87,1.68,2,117
Outer Sunset,Private room,37.76393,-122.49695,60,30,33,0.63,1,293
Western Addition,Private room,37.77832,-122.43975,75,4,21,0.4,2,0
Glen Park,Entire home/apt,37.73904,-122.42665,275,2,91,1.8,1,2
Potrero Hill,Entire home/apt,37.75438,-122.39889,130,55,1,0.02,1,0
Presidio Heights,Entire home/apt,37.78921,-122.45073,279,1,109,2.1,2,0
Downtown/Civic Center,Entire home/apt,37.77588,-122.41902,249,30,15,0.37,1,365
Bernal Heights,Entire home/apt,37.73703,-122.41801,500,2,13,0.25,1,44
Inner Richmond,Private room,37.77455,-122.45867,95,3,124,2.39,1,114
Financial District,Entire home/apt,37.78885,-122.40265,1300,1,6,0.12,4,36
Financial District,Entire home/apt,37.78889,-122.40358,1252,1,2,0.04,4,35
Financial District,Entire home/apt,37.78857,-122.40268,1082,1,2,0.04,4,16
Haight Ashbury,Entire home/apt,37.7662,-122.45251,640,2,12,0.23,1,270
Excelsior,Private room,37.72688,-122.42568,96,2,128,2.47,1,236
Mission,Entire home/apt,37.75839,-122.41905,199,5,14,0.27,2,0
Castro/Upper Market,Entire home/apt,37.76798,-122.43106,235,30,4,0.1,2,365
Bernal Heights,Private room,37.74011,-122.41993,80,1,158,3.44,1,67
Presidio Heights,Entire home/apt,37.78996,-122.44981,140,3,319,6.2,1,26
North Beach,Entire home/apt,37.79958,-122.40625,350,5,6,0.12,1,8
Outer Sunset,Entire home/apt,37.747,-122.50668,199,30,137,3.09,1,305
Bernal Heights,Entire home/apt,37.73523,-122.41404,233,5,7,0.14,1,0
Mission,Entire home/apt,37.75713,-122.41524,375,3,23,0.46,1,0
Bernal Heights,Entire home/apt,37.74752,-122.41938,230,3,71,1.44,1,284
Inner Sunset,Entire home/apt,37.76051,-122.47141,600,3,1,0.02,2,0
Inner Sunset,Entire home/apt,37.75316,-122.47053,200,2,81,1.68,1,331
Russian Hill,Private room,37.79825,-122.4109,156,2,304,5.86,1,42
Outer Sunset,Entire home/apt,37.74671,-122.50668,95,2,113,3.03,1,53
Bernal Heights,Entire home/apt,37.74494,-122.41034,200,30,0,0,1,173
West of Twin Peaks,Private room,37.72474,-122.45677,90,3,5,0.11,4,0
Castro/Upper Market,Entire home/apt,37.75608,-122.43801,258,1,315,6.03,1,120
Mission,Entire home/apt,37.7638,-122.42614,174,1,515,10.3,1,75
Castro/Upper Market,Private room,37.76054,-122.43759,79,1,44,0.85,1,0
Marina,Private room,37.79781,-122.42502,209,1,163,3.94,14,89
Mission,Entire home/apt,37.75587,-122.40906,299,3,200,4.14,2,179
Bernal Heights,Entire home/apt,37.73951,-122.41373,245,3,10,0.23,1,3
Outer Sunset,Entire home/apt,37.75318,-122.50099,135,2,136,2.7,1,29
Mission,Entire home/apt,37.75671,-122.40802,125,30,13,0.25,1,0
Mission,Private room,37.76182,-122.42143,199,4,137,2.8,1,90
Parkside,Private room,37.73436,-122.49558,49,1,324,6.35,2,65
Nob Hill,Entire home/apt,37.79632,-122.41191,499,1,31,0.64,2,0
Visitacion Valley,Entire home/apt,37.71389,-122.39809,150,2,121,2.32,2,158
Russian Hill,Entire home/apt,37.80618,-122.42343,531,1,6,0.32,1,241
Castro/Upper Market,Entire home/apt,37.76077,-122.43621,249,30,85,1.65,1,179
Potrero Hill,Private room,37.75539,-122.3973,146,1,264,5.08,3,109
Financial District,Entire home/apt,37.78852,-122.4022,300,30,6,0.19,1,364
Marina,Private room,37.79748,-122.42566,129,1,183,3.58,14,60
South of Market,Entire home/apt,37.77177,-122.39404,229,30,1,0.02,27,285
North Beach,Private room,37.8086,-122.41447,688,2,0,0,1,316
Bernal Heights,Entire home/apt,37.74697,-122.41193,250,2,15,0.3,1,0
Western Addition,Entire home/apt,37.77375,-122.42487,110,30,11,0.21,11,354
Noe Valley,Entire home/apt,37.74715,-122.43059,350,1,83,1.63,1,305
Outer Sunset,Entire home/apt,37.75964,-122.5064,98,30,119,2.37,1,156
Western Addition,Entire home/apt,37.77585,-122.42641,255,30,56,1.09,1,0
South of Market,Entire home/apt,37.78699,-122.3913,173,30,10,0.27,1,178
Inner Sunset,Entire home/apt,37.76325,-122.45252,85,30,76,1.49,1,64
Mission,Private room,37.76982,-122.4216,125,1,158,3.12,1,312
Potrero Hill,Entire home/apt,37.75488,-122.40235,160,3,60,1.19,1,0
Nob Hill,Entire home/apt,37.79018,-122.41169,151,30,15,0.38,1,321
Mission,Entire home/apt,37.75044,-122.4101,299,5,8,0.16,1,0
Pacific Heights,Entire home/apt,37.78881,-122.44,225,4,116,2.27,1,58
Western Addition,Entire home/apt,37.77832,-122.44561,3000,30,13,0.27,4,358
Western Addition,Private room,37.77692,-122.44613,180,30,36,0.72,4,364
Noe Valley,Entire home/apt,37.74207,-122.43069,196,1,342,6.79,1,110
Noe Valley,Entire home/apt,37.75341,-122.44033,450,3,86,1.75,1,282
South of Market,Private room,37.77062,-122.4214,240,1,46,1.76,1,36
Nob Hill,Private room,37.79256,-122.42135,200,140,2,0.04,1,365
Noe Valley,Private room,37.75195,-122.44068,99,30,7,0.14,2,318
North Beach,Entire home/apt,37.799,-122.40668,250,1,46,2.06,1,17
Noe Valley,Entire home/apt,37.75326,-122.43598,125,30,86,1.71,1,340
Russian Hill,Entire home/apt,37.79928,-122.41947,200,30,103,2.01,2,234
Western Addition,Entire home/apt,37.7726,-122.42814,342,5,9,0.18,1,0
Mission,Private room,37.75654,-122.41928,89,30,109,2.12,2,275
Inner Sunset,Private room,37.75748,-122.47222,129,1,95,1.84,1,249
Chinatown,Entire home/apt,37.79135,-122.40828,116,30,5,0.1,8,137
Haight Ashbury,Private room,37.76637,-122.4467,80,7,60,1.32,1,170
Inner Sunset,Entire home/apt,37.75639,-122.45455,780,4,7,0.58,1,16
Mission,Private room,37.75821,-122.41969,89,30,117,2.28,2,308
Outer Richmond,Entire home/apt,37.78307,-122.48605,700,2,5,0.13,1,278
Mission,Entire home/apt,37.76707,-122.4239,300,30,19,0.37,1,330
Western Addition,Entire home/apt,37.777,-122.44131,185,5,139,2.78,1,24
Haight Ashbury,Entire home/apt,37.76974,-122.43695,370,5,67,1.71,1,14
West of Twin Peaks,Entire home/apt,37.7313,-122.46152,139,2,296,5.79,1,315
Twin Peaks,Private room,37.75773,-122.44503,120,2,226,4.42,1,182
Mission,Private room,37.7657,-122.41669,91,4,116,2.28,2,308
Nob Hill,Entire home/apt,37.79533,-122.41201,300,30,20,0.4,4,347
Bernal Heights,Private room,37.74172,-122.40851,135,3,67,1.34,1,0
Mission,Entire home/apt,37.7565,-122.40886,450,2,7,0.93,1,2
South of Market,Entire home/apt,37.78009,-122.38963,241,60,7,0.15,26,355
Mission,Entire home/apt,37.75528,-122.41048,349,4,7,0.14,2,301
Outer Sunset,Private room,37.7495,-122.49164,84,1,308,6.06,3,285
Noe Valley,Entire home/apt,37.75316,-122.43722,200,2,208,4.3,1,267
Bernal Heights,Entire home/apt,37.74272,-122.40956,250,30,36,0.71,2,250
Mission,Entire home/apt,37.76283,-122.42547,250,3,77,1.58,1,1
South of Market,Entire home/apt,37.77248,-122.4078,250,30,4,0.1,1,0
Excelsior,Entire home/apt,37.71906,-122.43261,169,5,154,3.04,1,118
Noe Valley,Private room,37.74938,-122.42576,300,4,4,0.11,3,362
Noe Valley,Entire home/apt,37.74744,-122.43574,265,4,87,1.78,1,313
Pacific Heights,Entire home/apt,37.79034,-122.4348,129,30,1,0.03,1,0
Mission,Private room,37.76314,-122.42136,50,60,2,0.04,1,0
Bernal Heights,Entire home/apt,37.74326,-122.41061,114,5,97,2.46,5,4
Castro/Upper Market,Private room,37.7569,-122.43402,134,2,114,2.27,1,62
Castro/Upper Market,Entire home/apt,37.76014,-122.43213,399,3,20,0.41,2,0
South of Market,Private room,37.78455,-122.3887,70,30,0,0,1,147
Outer Sunset,Private room,37.74896,-122.4924,75,1,292,5.76,3,283
Bernal Heights,Entire home/apt,37.74814,-122.40806,135,3,163,3.34,1,25
Inner Richmond,Private room,37.77751,-122.45683,60,30,1,0.02,1,355
South of Market,Private room,37.77681,-122.3972,375,30,4,0.08,2,365
Marina,Entire home/apt,37.80166,-122.43068,380,30,6,0.12,3,318
Mission,Private room,37.753,-122.40394,95,3,230,4.56,2,89
Crocker Amazon,Entire home/apt,37.71174,-122.44561,74,30,16,0.32,1,317
Bernal Heights,Entire home/apt,37.74818,-122.41884,350,1,27,0.55,3,322
Mission,Private room,37.74822,-122.41826,160,1,107,2.12,3,344
Inner Sunset,Entire home/apt,37.75594,-122.46893,150,30,0,0,1,0
Castro/Upper Market,Entire home/apt,37.7644,-122.43054,700,30,26,0.55,1,279
Western Addition,Private room,37.78472,-122.44666,109,2,191,3.84,1,12
Excelsior,Private room,37.72836,-122.41643,120,2,198,3.92,2,0
Twin Peaks,Private room,37.74694,-122.44858,150,5,145,2.86,1,306
South of Market,Entire home/apt,37.7762,-122.39955,339,30,1,0.02,2,0
Bernal Heights,Private room,37.74135,-122.40938,110,3,46,0.92,4,342
Haight Ashbury,Entire home/apt,37.77566,-122.44063,149,2,47,0.94,3,20
Chinatown,Private room,37.79781,-122.40554,95,30,136,2.69,4,304
North Beach,Private room,37.79879,-122.40542,81,30,127,2.51,4,354
Mission,Entire home/apt,37.75749,-122.41599,295,3,7,0.14,1,40
Bernal Heights,Private room,37.74257,-122.41359,105,3,120,2.42,1,112
Potrero Hill,Private room,37.75149,-122.39892,80,30,4,0.15,1,0
North Beach,Entire home/apt,37.80468,-122.40574,370,30,2,0.05,24,93
Mission,Entire home/apt,37.76685,-122.42368,150,7,8,0.16,2,106
Ocean View,Entire home/apt,37.72059,-122.45216,105,30,36,0.83,3,289
Ocean View,Entire home/apt,37.72122,-122.45274,100,30,113,2.25,3,289
Noe Valley,Private room,37.75323,-122.43741,105,30,30,0.6,8,238
Western Addition,Entire home/apt,37.77855,-122.43864,92,30,74,1.47,4,345
Nob Hill,Entire home/apt,37.79681,-122.41264,199,30,65,1.3,4,66
Castro/Upper Market,Entire home/apt,37.76719,-122.43668,219,30,52,1.04,1,103
Noe Valley,Entire home/apt,37.75548,-122.42941,350,4,48,0.98,1,244
Potrero Hill,Entire home/apt,37.76034,-122.40525,300,1,187,3.72,1,330
Noe Valley,Entire home/apt,37.74244,-122.42427,375,2,16,0.32,1,0
Glen Park,Entire home/apt,37.73477,-122.43194,270,3,15,0.3,1,115
Noe Valley,Entire home/apt,37.75607,-122.43419,199,30,8,0.16,2,245
Bayview,Entire home/apt,37.72962,-122.37163,110,31,0,0,2,184
Noe Valley,Entire home/apt,37.75202,-122.42569,190,3,9,0.18,1,0
Bernal Heights,Entire home/apt,37.74096,-122.41656,159,1,47,0.95,1,0
Nob Hill,Entire home/apt,37.7919,-122.41894,260,30,17,0.79,1,255
North Beach,Entire home/apt,37.80447,-122.40497,240,30,0,0,24,353
Financial District,Entire home/apt,37.7876,-122.39844,252,30,1,0.03,24,218
Mission,Entire home/apt,37.75203,-122.42254,178,1,240,4.79,2,34
South of Market,Entire home/apt,37.77532,-122.40768,1000,30,18,0.36,1,364
Noe Valley,Entire home/apt,37.74576,-122.4265,710,7,2,0.16,1,92
Noe Valley,Entire home/apt,37.75323,-122.43588,1000,5,11,0.22,1,146
Noe Valley,Entire home/apt,37.74623,-122.43719,165,30,11,0.23,2,0
Downtown/Civic Center,Entire home/apt,37.78722,-122.40956,195,2,30,0.63,2,0
Noe Valley,Entire home/apt,37.75209,-122.42605,399,4,23,0.49,4,0
Castro/Upper Market,Entire home/apt,37.76338,-122.43698,150,30,6,0.12,1,0
Noe Valley,Entire home/apt,37.75544,-122.43524,350,3,67,1.36,1,36
Pacific Heights,Entire home/apt,37.7954,-122.42882,220,30,2,0.05,24,218
Mission,Private room,37.7649,-122.4214,100,2,85,1.8,1,7
Mission,Private room,37.75598,-122.41525,90,1,95,1.89,1,0
Mission,Entire home/apt,37.75451,-122.41067,151,30,95,1.91,1,0
Mission,Entire home/apt,37.75338,-122.40633,400,3,47,0.97,1,88
Western Addition,Entire home/apt,37.78527,-122.42321,128,7,25,0.5,1,0
Mission,Entire home/apt,37.75642,-122.41285,300,3,51,1.02,1,22
Outer Sunset,Entire home/apt,37.75634,-122.50365,219,30,14,0.32,4,330
Outer Sunset,Entire home/apt,37.75734,-122.50194,157,30,78,1.57,4,331
Potrero Hill,Entire home/apt,37.76028,-122.39365,265,3,59,1.19,1,87
Seacliff,Private room,37.78066,-122.50563,70,3,106,2.12,3,77
West of Twin Peaks,Private room,37.72428,-122.45723,99,3,4,0.08,4,0
West of Twin Peaks,Private room,37.72558,-122.45747,80,3,9,0.19,4,0
Chinatown,Private room,37.79424,-122.40929,83,30,2,0.19,1,348
Noe Valley,Entire home/apt,37.74858,-122.43582,225,5,103,2.06,1,323
Western Addition,Private room,37.77847,-122.43502,158,3,188,4.33,1,277
Presidio Heights,Private room,37.78169,-122.45628,140,2,120,2.43,1,116
Outer Mission,Private room,37.73172,-122.44845,60,5,10,0.23,1,70
Castro/Upper Market,Private room,37.76809,-122.43153,197,2,14,0.29,3,357
Bayview,Entire home/apt,37.7106,-122.3903,170,30,0,0,18,336
Western Addition,Entire home/apt,37.78622,-122.42438,100,30,49,0.98,1,15
Ocean View,Entire home/apt,37.7195,-122.45674,95,3,128,2.59,1,126
Nob Hill,Private room,37.79569,-122.41708,159,2,207,4.14,3,247
Mission,Entire home/apt,37.76999,-122.42268,245,4,36,0.73,1,210
Ocean View,Private room,37.71728,-122.45269,219,7,14,0.3,1,148
Glen Park,Private room,37.73632,-122.43691,69,2,120,2.48,1,146
Inner Richmond,Private room,37.7778,-122.45934,125,3,26,0.53,4,217
Inner Sunset,Entire home/apt,37.75688,-122.46785,190,30,142,2.9,1,121
Noe Valley,Private room,37.75073,-122.42647,93,30,12,0.25,2,345
Mission,Entire home/apt,37.75369,-122.42261,150,1,38,1.78,1,6
Haight Ashbury,Private room,37.77498,-122.44355,88,1,133,2.72,4,6
Noe Valley,Private room,37.74963,-122.42995,125,2,300,6.27,1,74
Outer Sunset,Private room,37.7638,-122.50732,190,3,33,0.68,1,346
Bernal Heights,Entire home/apt,37.74331,-122.41974,250,5,67,1.58,4,0
Noe Valley,Private room,37.74736,-122.4249,95,3,53,1.08,3,0
Parkside,Entire home/apt,37.74236,-122.47229,179,2,96,1.97,1,186
Inner Sunset,Entire home/apt,37.76463,-122.47456,240,6,8,0.25,1,0
Outer Sunset,Private room,37.75853,-122.50506,99,3,94,1.9,1,35
Bernal Heights,Entire home/apt,37.74195,-122.41691,200,5,6,0.14,1,0
Crocker Amazon,Entire home/apt,37.71062,-122.43532,174,3,10,0.76,1,4
Parkside,Entire home/apt,37.73806,-122.50623,350,30,18,0.39,1,282
North Beach,Shared room,37.79926,-122.40476,38,1,131,2.64,25,101
North Beach,Shared room,37.79845,-122.40478,38,1,208,4.21,25,87
Ocean View,Private room,37.72677,-122.46832,53,2,175,3.54,1,28
Western Addition,Entire home/apt,37.7752,-122.43765,132,90,6,0.12,1,0
Outer Mission,Private room,37.73048,-122.44176,50,30,2,0.04,1,0
Marina,Entire home/apt,37.8055,-122.44802,1000,3,6,0.12,1,119
Downtown/Civic Center,Entire home/apt,37.78832,-122.40982,449,3,2,0.06,1,3
Mission,Entire home/apt,37.7511,-122.4215,300,3,9,0.19,1,216
Western Addition,Entire home/apt,37.7769,-122.42613,120,30,13,0.27,5,361
Haight Ashbury,Private room,37.77561,-122.4409,239,1,294,6.25,2,61
South of Market,Entire home/apt,37.77945,-122.40382,269,4,208,4.23,1,48
Bernal Heights,Entire home/apt,37.73379,-122.41556,125,2,175,3.68,1,28
Castro/Upper Market,Entire home/apt,37.7645,-122.43145,875,3,24,0.49,1,8
Potrero Hill,Private room,37.75751,-122.39627,130,3,178,3.71,1,326
West of Twin Peaks,Private room,37.74602,-122.4554,130,30,87,1.77,1,178
South of Market,Entire home/apt,37.78407,-122.40707,249,30,32,0.65,1,312
Castro/Upper Market,Entire home/apt,37.76527,-122.42997,320,3,17,0.35,1,8
Mission,Entire home/apt,37.76222,-122.42332,295,2,149,3.13,1,13
Nob Hill,Entire home/apt,37.79429,-122.41557,140,2,95,2.13,1,2
Outer Richmond,Entire home/apt,37.78294,-122.48326,109,2,294,5.98,1,120
Nob Hill,Private room,37.79287,-122.41609,116,2,184,3.76,1,116
Pacific Heights,Entire home/apt,37.79255,-122.44273,750,30,25,0.52,1,365
Western Addition,Private room,37.78611,-122.44019,119,30,155,3.21,7,341
Pacific Heights,Entire home/apt,37.79074,-122.42505,975,5,18,0.37,1,0
Inner Sunset,Entire home/apt,37.75329,-122.4686,400,7,9,0.24,1,0
Outer Mission,Entire home/apt,37.73214,-122.43068,125,2,157,3.62,1,144
Outer Sunset,Private room,37.76258,-122.50822,95,2,90,1.85,5,135
Outer Sunset,Private room,37.76087,-122.50591,60,2,52,1.07,5,111
Outer Sunset,Private room,37.76203,-122.50759,75,2,89,1.82,5,135
Castro/Upper Market,Private room,37.76074,-122.44359,115,2,169,3.57,1,65
Excelsior,Entire home/apt,37.71904,-122.43537,300,4,42,0.87,2,7
Western Addition,Private room,37.76997,-122.42977,95,2,218,4.46,2,288
Haight Ashbury,Entire home/apt,37.76516,-122.44658,99,7,13,0.27,1,4
Western Addition,Entire home/apt,37.77131,-122.42524,280,2,8,0.16,1,0
Outer Sunset,Entire home/apt,37.76404,-122.47942,179,3,128,2.66,2,210
Bayview,Entire home/apt,37.73841,-122.38636,120,30,3,0.06,18,363
Potrero Hill,Entire home/apt,37.75308,-122.40149,238,3,270,5.68,1,189
Western Addition,Private room,37.78604,-122.43887,92,30,158,3.27,7,339
Western Addition,Private room,37.78593,-122.43885,87,30,173,3.58,7,349
Western Addition,Private room,37.78585,-122.44034,82,30,148,3.07,7,225
Noe Valley,Entire home/apt,37.74898,-122.43125,250,2,166,5.71,1,277
Castro/Upper Market,Private room,37.76102,-122.43249,200,3,8,0.16,2,216
Excelsior,Private room,37.72683,-122.42962,70,2,88,1.81,3,354
Mission,Private room,37.75123,-122.42367,210,4,43,0.91,3,358
Western Addition,Entire home/apt,37.78689,-122.43889,900,3,86,1.76,1,189
North Beach,Shared room,37.79909,-122.40631,38,1,117,2.64,25,99
Inner Richmond,Entire home/apt,37.78118,-122.46633,400,1,196,4,2,10
Mission,Private room,37.75035,-122.42458,210,4,37,0.78,3,351
Bernal Heights,Entire home/apt,37.7331,-122.43261,220,3,23,0.6,1,21
Castro/Upper Market,Private room,37.75698,-122.43951,125,2,250,5.12,1,308
Potrero Hill,Entire home/apt,37.75843,-122.40112,140,30,85,1.86,1,175
Western Addition,Private room,37.78811,-122.43839,92,30,152,3.17,7,349
Noe Valley,Entire home/apt,37.75193,-122.43656,180,30,102,2.09,1,365
Potrero Hill,Entire home/apt,37.75915,-122.39549,750,2,54,1.1,1,32
Outer Sunset,Entire home/apt,37.75944,-122.50335,250,2,119,2.44,1,333
South of Market,Entire home/apt,37.77512,-122.40244,189,30,11,0.22,1,10
Bernal Heights,Entire home/apt,37.73841,-122.41286,275,2,13,0.28,1,22
Mission,Entire home/apt,37.76021,-122.4255,475,30,61,1.24,1,346
Western Addition,Entire home/apt,37.77666,-122.44309,170,30,126,2.59,1,355
Western Addition,Private room,37.77115,-122.43679,125,30,149,3.05,4,306
South of Market,Entire home/apt,37.77534,-122.41769,339,30,22,0.45,1,89
Haight Ashbury,Private room,37.76484,-122.44526,565,2,4,1.19,2,7
South of Market,Entire home/apt,37.78836,-122.39059,193,30,7,0.24,1,239
Haight Ashbury,Entire home/apt,37.76211,-122.45202,100,30,326,6.82,1,228
Excelsior,Entire home/apt,37.72257,-122.43297,148,3,185,3.82,1,235
Bernal Heights,Entire home/apt,37.73997,-122.41285,218,30,2,0.04,24,284
Pacific Heights,Entire home/apt,37.79425,-122.42816,232,30,8,0.49,24,262
Bernal Heights,Private room,37.7418,-122.41674,130,2,5,0.15,1,0
Bayview,Private room,37.73192,-122.38821,114,2,217,4.49,1,276
Bernal Heights,Entire home/apt,37.73783,-122.41342,400,3,12,0.33,1,11
Marina,Entire home/apt,37.80166,-122.44621,128,3,154,3.16,1,76
Downtown/Civic Center,Private room,37.78541,-122.40846,110,1,86,1.84,26,3
Potrero Hill,Entire home/apt,37.76024,-122.39899,475,2,34,0.91,2,31
Mission,Entire home/apt,37.7608,-122.41916,1025,3,68,1.45,1,177
Haight Ashbury,Entire home/apt,37.7765,-122.43946,185,30,66,1.37,1,310
Marina,Entire home/apt,37.80332,-122.43982,375,2,16,0.33,1,241
Russian Hill,Entire home/apt,37.79703,-122.41861,300,3,19,0.4,1,16
Mission,Entire home/apt,37.75124,-122.41046,595,3,46,0.99,1,31
Pacific Heights,Entire home/apt,37.78894,-122.44555,262,3,46,3.12,5,249
Castro/Upper Market,Entire home/apt,37.76106,-122.44478,160,30,9,0.19,1,219
South of Market,Shared room,37.78246,-122.40024,37,30,37,0.78,2,360
South of Market,Private room,37.77806,-122.39914,120,1,194,3.99,1,6
South of Market,Entire home/apt,37.77682,-122.41465,700,2,20,0.47,1,0
Haight Ashbury,Entire home/apt,37.77368,-122.44564,145,31,4,0.08,1,0
Western Addition,Entire home/apt,37.78799,-122.43976,1500,30,2,0.06,7,364
Potrero Hill,Entire home/apt,37.76134,-122.40268,599,2,24,0.51,1,9
Castro/Upper Market,Private room,37.7671,-122.4325,199,2,37,0.79,2,71
Financial District,Entire home/apt,37.79565,-122.3994,150,31,9,0.2,8,357
Marina,Private room,37.80185,-122.44081,188,2,47,0.98,2,318
Potrero Hill,Private room,37.76262,-122.38982,65,30,10,0.33,1,125
Russian Hill,Private room,37.80643,-122.41988,225,3,6,0.15,1,0
Parkside,Private room,37.74365,-122.47642,80,1,98,2.03,5,3
Castro/Upper Market,Private room,37.7617,-122.43923,175,2,3,0.28,2,85
Bernal Heights,Entire home/apt,37.73957,-122.41425,450,3,4,0.08,1,0
Outer Mission,Entire home/apt,37.73529,-122.44081,995,3,34,0.73,1,19
Russian Hill,Private room,37.80353,-122.4223,170,1,292,6.14,1,209
Financial District,Entire home/apt,37.78931,-122.40231,1300,1,2,0.05,4,190
Western Addition,Private room,37.77202,-122.43204,110,2,9,0.19,1,0
Twin Peaks,Private room,37.75737,-122.44295,170,1,212,4.36,1,14
Castro/Upper Market,Entire home/apt,37.76879,-122.43158,397,1,16,0.43,3,73
Downtown/Civic Center,Entire home/apt,37.78843,-122.4128,60,1,0,0,1,0
Bayview,Entire home/apt,37.72241,-122.39829,95,1,37,5.09,1,50
Bayview,Entire home/apt,37.73132,-122.39138,115,2,230,4.87,1,106
