neighbourhood,room_type,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Castro/Upper Market,Private room,37.75823,-122.43273,150,5,64,0.65,1,248
Bernal Heights,Private room,37.73874,-122.41624,90,2,150,1.53,3,13
Outer Richmond,Entire home/apt,37.78471,-122.48125,399,5,184,1.94,1,77
Presidio Heights,Entire home/apt,37.78734,-122.46083,475,3,17,0.17,1,116
Pacific Heights,Private room,37.79336,-122.42506,56,30,118,1.2,9,315
Diamond Heights,Entire home/apt,37.74599,-122.44532,230,30,108,1.1,3,331
Castro/Upper Market,Entire home/apt,37.76787,-122.43172,275,5,19,0.19,1,0
Marina,Entire home/apt,37.80094,-122.4275,165,60,109,1.16,3,0
Twin Peaks,Entire home/apt,37.75195,-122.44928,115,30,90,1.86,3,0
South of Market,Entire home/apt,37.7876,-122.39222,600,30,13,0.14,5,344
Mission,Entire home/apt,37.76202,-122.41876,179,30,118,1.2,2,321
Potrero Hill,Private room,37.762,-122.39391,75,3,220,2.28,1,92
Outer Richmond,Entire home/apt,37.77761,-122.50378,149,3,227,2.31,2,314
West of Twin Peaks,Private room,37.74159,-122.46578,69,4,346,3.52,3,127
Castro/Upper Market,Entire home/apt,37.76194,-122.43239,220,30,159,1.64,1,57
Haight Ashbury,Entire home/apt,37.76827,-122.44678,185,30,153,1.58,1,34
Mission,Private room,37.75452,-122.40716,80,3,27,0.28,1,24
Financial District,Entire home/apt,37.79018,-122.40475,110,30,24,0.25,18,253
Financial District,Entire home/apt,37.79076,-122.40403,135,30,49,0.51,18,340
Excelsior,Private room,37.73143,-122.42325,55,30,10,0.1,14,365
Chinatown,Entire home/apt,37.79675,-122.40781,135,30,62,0.64,2,263
Bernal Heights,Entire home/apt,37.74531,-122.41122,225,14,6,0.06,2,29
Glen Park,Entire home/apt,37.73626,-122.43677,220,3,225,2.57,1,275
Mission,Private room,37.75757,-122.41939,75,3,126,1.3,4,226
Bernal Heights,Private room,37.73856,-122.41687,90,2,168,1.73,3,17
Marina,Entire home/apt,37.80318,-122.42977,150,5,36,0.43,1,30
Haight Ashbury,Entire home/apt,37.77311,-122.44979,138,2,450,4.63,1,193
Bernal Heights,Private room,37.74557,-122.41187,80,2,193,1.99,1,0
North Beach,Entire home/apt,37.8034,-122.40485,182,30,2,0.13,1,283
Western Addition,Entire home/apt,37.77756,-122.43326,136,30,213,2.21,1,186
Chinatown,Shared room,37.79507,-122.40498,30,30,9,0.12,20,311
Chinatown,Shared room,37.79466,-122.40523,30,30,6,0.06,20,232
Chinatown,Shared room,37.79291,-122.40637,30,30,3,0.04,20,344
Noe Valley,Entire home/apt,37.74446,-122.43776,295,2,364,3.79,1,186
Outer Richmond,Private room,37.78265,-122.48971,85,30,28,0.32,2,158
Russian Hill,Entire home/apt,37.80242,-122.4144,165,3,456,4.76,1,91
Haight Ashbury,Private room,37.77118,-122.44963,92,1,439,4.56,5,315
Mission,Entire home/apt,37.75551,-122.40882,178,5,11,1.25,1,0
Haight Ashbury,Private room,37.77108,-122.44942,98,1,413,4.29,5,313
Haight Ashbury,Private room,37.77085,-122.44811,78,1,456,4.75,5,302
Castro/Upper Market,Entire home/apt,37.76146,-122.43817,325,30,38,0.4,1,162
Bernal Heights,Entire home/apt,37.74382,-122.41773,147,5,49,0.51,1,202
Outer Mission,Private room,37.72652,-122.43468,75,2,90,8.85,2,0
Haight Ashbury,Entire home/apt,37.76468,-122.44523,110,30,43,0.45,12,276
Haight Ashbury,Private room,37.77042,-122.45019,78,1,409,4.26,5,308
Russian Hill,Private room,37.80281,-122.4154,139,2,187,1.95,4,37
Mission,Entire home/apt,37.75632,-122.40478,145,2,93,0.97,1,217
Mission,Private room,37.76097,-122.42313,115,2,405,4.23,1,0
Castro/Upper Market,Private room,37.7684,-122.43086,99,3,190,2.04,1,35
Haight Ashbury,Private room,37.76968,-122.45193,120,1,101,1.06,1,316
Financial District,Shared room,37.79341,-122.4034,45,1,342,3.57,20,61
Bernal Heights,Entire home/apt,37.73819,-122.41566,135,30,18,0.2,2,340
Nob Hill,Entire home/apt,37.79114,-122.41029,989,2,62,0.67,5,259
Noe Valley,Entire home/apt,37.75565,-122.44022,250,30,76,0.81,1,256
Inner Sunset,Entire home/apt,37.75855,-122.46444,99,30,113,1.24,1,65
Russian Hill,Private room,37.80301,-122.41581,99,2,208,2.19,4,41
Parkside,Entire home/apt,37.74174,-122.50435,135,3,197,2.08,1,297
Financial District,Shared room,37.79271,-122.40383,45,1,311,3.27,20,72
South of Market,Entire home/apt,37.77499,-122.40635,160,3,59,0.77,1,20
Castro/Upper Market,Entire home/apt,37.75967,-122.44257,225,30,60,0.67,3,0
Chinatown,Entire home/apt,37.79532,-122.40863,135,30,71,0.75,2,284
Downtown/Civic Center,Entire home/apt,37.78304,-122.41942,138,30,8,0.12,26,358
Potrero Hill,Entire home/apt,37.75889,-122.39539,280,6,23,0.25,1,40
Castro/Upper Market,Private room,37.76188,-122.44215,139,1,576,6.12,1,137
Inner Richmond,Private room,37.77579,-122.45504,100,3,297,3.16,1,310
North Beach,Private room,37.80134,-122.40714,89,2,351,4.18,2,264
Financial District,Shared room,37.7947,-122.40374,45,1,219,2.33,20,71
Financial District,Shared room,37.79441,-122.40473,45,1,203,2.23,20,71
Inner Sunset,Entire home/apt,37.7647,-122.45368,114,30,13,0.14,40,217
Downtown/Civic Center,Entire home/apt,37.78322,-122.42025,138,30,1,0.01,26,0
Castro/Upper Market,Private room,37.76294,-122.43974,115,2,176,1.88,1,333
Haight Ashbury,Entire home/apt,37.76711,-122.45151,250,2,120,1.28,1,12
South of Market,Entire home/apt,37.77641,-122.40454,133,30,101,1.09,1,317
Outer Sunset,Shared room,37.75553,-122.50707,35,30,134,1.61,2,0
Potrero Hill,Entire home/apt,37.75612,-122.39967,325,4,33,0.48,2,0
Outer Sunset,Private room,37.75346,-122.50358,89,3,67,0.73,1,80
Mission,Private room,37.76833,-122.42592,95,2,52,0.61,1,0
Outer Mission,Entire home/apt,37.72681,-122.43419,110,3,343,3.73,1,239
Mission,Entire home/apt,37.7529,-122.41553,575,3,13,0.14,2,0
